org,rand
Clostridium_BNL1100_uid81613,55712
Staphylococcus_aureus_ST228_18412_uid71355,70424
Salmonella_enterica_serovar_Weltevreden_2007_60_3289_1_uid61197,3671
Pseudomonas_stutzeri_DSM_4166_uid63543,1553
Salmonella_enterica_serovar_Schwarzengrund_CVM19633_uid19459,83866
Staphylococcus_aureus_USA300_TCH1516_uid19489,36700
Pseudomonas_FGI182_uid173784,85167
Pseudomonas_aeruginosa_RP73_uid206088,73953
Pseudomonas_syringae_phaseolicola_1448A_uid12416,56489
Pseudomonas_putida_GB_1_uid17629,66190
Pseudomonas_aeruginosa_LES431_uid222518,92464
Yersinia_pseudotuberculosis_IP_31758_uid16070,48850
Bacillus_JS_uid79217,93676
Francisella_tularensis_FSC_198_uid17375,65407
Escherichia_coli_SE15_uid19053,40762
Staphylococcus_aureus_CN1_uid162343,54862
Clostridium_thermocellum_DSM_1313_uid41553,40671
Escherichia_coli_UMNK88_uid42137,58791
Clostridium_botulinum_Ba4_657_uid29077,62721
Clostridium_difficile_630_uid78,42539
Clostridium_botulinum_F_Langeland_uid19519,15563
Listeria_monocytogenes_serotype_4b_81_0861_uid167874,37264
Bacillus_anthracis_A16_uid40303,98913
Pseudomonas_monteilii_SB3101_uid231108,14923
Staphylococcus_aureus_JKD6008_uid29567,65282
Escherichia_coli_K_12_substr__DH10B_uid20079,26956
Clostridium_pasteurianum_BC1_uid80,12015
Listeria_monocytogenes_serotype_4a_L99_uid31327,97060
Pseudomonas_aeruginosa_PAO1_VE13_uid212862,65957
Bacillus_thuringiensis_serovar_kurstaki_HD73_uid185468,19051
Clostridium_botulinum_A3_Loch_Maree_uid28507,89890
Listeria_monocytogenes_serotype_1_2a_08_6569_uid167896,92744
Pseudomonas_stutzeri_ATCC_17588___LMG_11199_uid68131,52418
Staphylococcus_aureus_TW20_uid36647,539
Francisella_tularensis_holarctica_F92_uid175244,65829
Escherichia_coli_K_12_substr__W3110_uid16351,49206
Francisella_tularensis_TI0902_uid64439,3324
Clostridium_ljungdahlii_ATCC_49587_uid13492,63068
Listeria_monocytogenes_ATCC_19117_uid51859,99778
Escherichia_coli_APEC_O1_uid16718,95007
Escherichia_coli_S88_uid33375,857
Salmonella_enterica_serovar_Typhimurium_798_uid66023,99932
Salmonella_typhimurium_LT2_uid241,61539
Shigella_boydii_CDC_3083_94_uid15637,86274
Bacillus_coagulans_2_6_uid61501,16562
Pseudomonas_aeruginosa_PA1R_uid185336,85657
Bacillus_subtilis_6051_HGW_uid82795,41953
Bacillus_halodurans_uid235,84368
Listeria_monocytogenes_M7_uid66625,95107
Yersinia_pestis_A1122_uid67155,27794
Listeria_monocytogenes_serotype_1_2a_08_6997_uid167897,29271
Listeria_monocytogenes_serotype_1_2a_10_0815_uid167901,28448
Clostridium_cellulolyticum_H10_uid17419,88711
Listeria_monocytogenes_07PF0776_uid78811,10742
Clostridium_kluyveri_NBRC_12016_uid33271,19692
Staphylococcus_aureus_NCTC_8325_uid237,83042
Listeria_monocytogenes_uid276,30157
Staphylococcus_aureus_CC45_uid197422,98706
Staphylococcus_aureus_TCH60_uid31539,36386
Pseudomonas_mendocina_ymp_uid17457,75825
Clostridium_difficile_M68_uid42463,45693
Bacillus_megaterium_WSH_002_uid71447,94030
Listeria_monocytogenes_La111_uid177104,45371
Staphylococcus_aureus_COL_uid238,2376
Francisella_cf__novicida_Fx1_uid62751,81000
Clostridium_difficile_ATCC_43255_uid42473,80413
Salmonella_enterica_serovar_Typhimurium_T000240_uid45951,91868
Escherichia_coli_BW2952_uid33775,72262
Pseudomonas_aeruginosa_SCV20265_uid229445,95564
Francisella_tularensis_holarctica_LVS_uid16421,55987
Staphylococcus_aureus_ECT_R_2_uid52833,38490
Pseudomonas_fluorescens_CHA0_uid78307,71981
Clostridium_stercorarium_DSM_8532_uid181307,61354
Staphylococcus_aureus_ST228_10388_uid71343,38300
Staphylococcus_aureus_M1_uid194419,90505
Staphylococcus_aureus_04_02981_uid34809,37062
Bacillus_cereus_B4264_uid17731,99155
Pseudomonas_fulva_12_X_uid49675,23922
