Total Number of Aligned Reads:	212640	Total Number of Mapped Genomes:	10581
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|216597|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._SL1344	0.8922350500570888	0.8186183220466516	174071.0	0.8185524830699774	6.583897667419112e-05	0.6161522550950508	0.5366885209235588	114121.44708918553	0.45773607975921743	0.3176824680210685
ti|1081093|org|Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0.05701581192940703	0.12116252821670428	25764.0	0.12111550037622272	4.7027840481565085e-05	0.13768463285531587	0.0922879682992813	19624.113579159177	0.09224981188863807	0.08419394281414598
ti|439851|org|Salmonella_enterica_subsp._enterica_serovar_Dublin_str._CT_02021853	0.0206777992165719	0.026796463506395786	5698.0	0.026674191121143716	0.00012227238525206922	0.1266911564094723	0.08449917627578729	17967.90484328341	0.07824962377727615	0.10093585402558315
ti|718274|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str.	0.010928382240619594	0.009447893152746425	2009.0	0.009278592927012792	0.0001693002257336343	0.02008653227305185	0.02913457157987386	6195.175300744378	0.004740406320541761	0.19575808878856282
ti|568708|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._D23580	0.009691426660836285	0.008841234010534237	1880.0	0.008803611738148984	3.762227238525207e-05	0.01764361471308009	0.036004020819739045	7655.89498710931	0.006884875846501128	0.19174191121143716
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.0023962947858134826	0.0018811136192626034	400.0	0.0018811136192626034	0.0	0.0011776944775495199	0.0013469221398115304	286.4095238095238	0.0006724981188863808	0.001147479307750188
ti|990282|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._UK-1	0.0015827890989317584	0.001147479307750188	244.0	0.001147479307750188	0.0	0.030954186971920657	0.04084791415083888	8685.90046503438	0.0026335590669676447	0.2314098946576373
ti|1171376|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	0.0014210846357733606	0.0009687735139202408	206.0	0.0009687735139202408	0.0	0.013201783320672159	0.02432577950856895	5172.633754702101	0.0017259217456734386	0.1843538374717833
ti|439843|org|Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str.	0.0012133180948153612	0.0018717080511662905	398.0	0.001867005267118134	4.702784048156509e-06	0.0022657167485477434	0.004319898812980931	918.583283592265	0.001406132430398796	0.03835590669676448
ti|90371|org|Salmonella_enterica_subsp._enterica_serovar_Typhimurium	0.0005656566013204844	0.0005878480060195636	125.0	0.0005878480060195636	0.0	0.0023595622625664802	0.0054687926774458565	1162.8840749320868	0.001636568848758465	0.03728837471783296
ti|218493|org|Salmonella_bongori_NCTC_12419	0.0005398938103891146	0.0031085402558314523	661.0	0.0031085402558314523	0.0	0.00044011676940345783	0.0025024500140465983	532.1209709868687	0.0022197140707298723	0.0025912340105342362
ti|1016998|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B_str._SPB7	0.0004375360524567184	0.0010487208427389014	223.0	0.0010487208427389014	0.0	0.0086594415581047	0.009406681547209906	2000.2367641987144	0.002294958615500376	0.06826561324303988
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.0003813490345500249	0.0003621143717080512	77.0	0.0003621143717080512	0.0	0.0006724628044381563	0.0003832433086101256	81.4928571428571	0.00018811136192626034	0.000517306245297216
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.000341649238460542	0.0009499623777276148	202.0	0.0009499623777276148	0.0	0.010774490542667662	0.011886753772462321	2527.599322176388	0.0009123401053423626	0.09828818660647103
ti|936157|org|Salmonella_enterica_subsp._enterica_serovar_Weltevreden_str.	0.00023450772503977465	0.0007712565838976674	164.0	0.0007712565838976674	0.0	0.002766469867823273	0.005549495503244086	1180.0447238098225	0.0012838600451467268	0.05175884123401053
ti|554290|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str.	6.844797432656472e-05	0.00042325056433408577	90.0	0.00041384499623777274	9.405568096313017e-06	0.0002831559038300266	0.0028925939167778426	615.0811704636404	0.0003762227238525207	0.03769281414597442
ti|1267753|org|Salmonella_enterica_subsp._enterica_serovar_Javiana_str.	6.035697358762981e-05	0.00015048908954100828	32.0	0.00015048908954100828	0.0	0.000161249368494649	0.00269951667786946	574.025226382162	0.00019751693002257337	0.03852520692249812
ti|295319|org|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC	4.579798584871817e-05	0.00034330323551542513	73.0	0.00034330323551542513	0.0	0.000701123331381347	0.0030032544395938695	638.6120240352404	0.00040443942814145977	0.03817249811888638
ti|714583|org|Salmonella_phage_ST160	4.133658753419847e-05	0.00022103085026335591	47.0	0.00022103085026335591	0.0	7.52116631530797e-05	0.0005226309776253343	111.13225108225107	0.0004843867569601204	0.00013638073739653876
ti|941193|org|Pseudomonas_aeruginosa_M18	3.629024259591373e-05	7.054176072234762e-05	15.0	7.054176072234762e-05	0.0	0.0006109671005961986	0.00034993192160235047	74.4095238095238	0.00012697516930022573	0.000573739653875094
