Total Number of Aligned Reads:	217610	Total Number of Mapped Genomes:	13222
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|566546|org|Escherichia_coli_W	0.3349663645427384	0.6187215661044989	134640.0	0.5920499977023115	0.0266715684021874	0.25026780590016806	0.10827282211107349	23561.248819590703	0.024061394237397178	0.49058407242314234
ti|595495|org|Escherichia_coli_KO11FL	0.245341025416106	0.056467993198841965	12288.0	0.03914801709480263	0.017319976104039337	0.2552282106325908	0.1032808275599213	22474.940885314474	0.02475070079500023	0.46266715684021875
ti|585396|org|Escherichia_coli_O111:H-_str._11128	0.14427000112462215	0.019875005744221314	4325.0	0.01854234639952208	0.0013326593446992326	0.0974192764054837	0.032362185939228474	7042.335282235508	0.012476448692615228	0.2548320389687974
ti|655817|org|Escherichia_coli_ABU_83972	0.09653124112526519	0.25298010201737053	55051.0	0.25296172050916776	1.8381508202748034e-05	0.09320295018527329	0.24889881587570475	54162.87132271211	0.24747484031064748	0.031997610403933646
ti|409438|org|Escherichia_coli_SE11	0.035636843303432676	0.003961215017692202	862.0	0.003947428886540141	1.3786131152061027e-05	0.03209230835781965	0.029195241499093194	6353.17650261767	0.0034235559027618215	0.2803823353706172
ti|454169|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg_str._SL476	0.030870715103320658	0.00774321033040761	1685.0	0.00774321033040761	0.0	0.029761521342503233	0.007501075302423219	1632.3089965603167	0.007389366297504711	0.0015164744267267129
ti|1133853|org|Escherichia_coli_O104:H4_str._2009EL-2071	0.02735025807618721	0.006355406461100133	1383.0	0.006355406461100133	0.0	0.060708570567772166	0.02971064089728416	6465.332565658006	0.010652084003492487	0.26776342998943065
ti|562|org|Escherichia_coli	0.020065310407899783	0.00586829649372731	1277.0	0.00586829649372731	0.0	0.021122245569947313	0.009788268446398877	2130.0250966208596	0.006254308165985019	0.06343458480768346
ti|469008|org|Escherichia_coli_BL21(DE3)	0.011272045243113229	0.0018381508202748036	400.0	0.0018381508202748036	0.0	0.006544991917133501	0.00862660672978089	1877.2358904676196	0.0011856072790772483	0.1430816598501907
ti|439855|org|Escherichia_coli_SMS-3-5	0.008447993535733124	0.0066173429529892925	1440.0	0.0066173429529892925	0.0	0.011969077315383377	0.007068579630274524	1538.193613344039	0.005123845411516015	0.042801341850098804
ti|1072459|org|Escherichia_coli_O7:K1_str._CE10	0.0072683969776533575	0.000978815311796333	213.0	0.000978815311796333	0.0	0.01323460476491122	0.002893890361611785	629.7394815903405	0.0008639308855291577	0.04250723771885483
ti|910348|org|Escherichia_coli_P12b	0.007181038179539578	0.0011534396397224393	251.0	0.0011534396397224393	0.0	0.011272484067224958	0.008886987442671298	1933.8973373997012	0.0011212720003676302	0.14129405817747345
ti|611|org|Salmonella_enterica_subsp._enterica_serovar_Heidelberg	0.00505123172357696	0.0005882082624879371	128.0	0.0005882082624879371	0.0	0.003892050831094816	0.0006811678057125837	148.22892620111534	0.0005744221313358761	0.0006893065576030513
ti|1147148|org|Enterobacteria_phage_HK629	0.0049411431879640404	0.001061532098708699	231.0	0.001061532098708699	0.0	0.005136875260366745	0.0009951602988530553	216.55683263341336	0.0009604338035935848	0.0007352603281099215
ti|413997|org|Escherichia_coli_B_str._REL606	0.004171795854073271	0.0014797114103212168	322.0	0.0014797114103212168	0.0	0.005815689281748542	0.009586053781620642	2086.021163418468	0.0018611277055282387	0.1420890584072423
ti|1133852|org|Escherichia_coli_O104:H4_str._2011C-3493	0.0037294975536031555	0.0005836128854372502	127.0	0.0005790175083865631	4.5953770506870086e-06	0.013600897526697677	0.021754005956998414	4733.889236302425	0.0019530352465419788	0.27147649464638574
ti|585034|org|Escherichia_coli_IAI1	0.001256356310881652	0.00011488442626717522	25.0	0.00011488442626717522	0.0	0.0037092628181374814	0.023473562418237087	5108.081917832573	0.00019300583612885439	0.26729929690731125
ti|386585|org|Escherichia_coli_O157:H7_str._Sakai	0.0012253928700664718	0.0012637286889389274	275.0	0.0012637286889389274	0.0	0.002226432555462703	0.00440599029972754	958.7875491237099	0.0008915031478332797	0.07564450163135886
ti|198215|org|Shigella_flexneri_2a_str._2457T	0.0009917062495785386	0.0005836128854372502	127.0	0.0005790175083865631	4.5953770506870086e-06	0.001911389873905147	0.005906953358248758	1285.4121202885124	0.0003078902623960296	0.09966453747529985
ti|316407|org|Escherichia_coli_str._K-12_substr._W3110	0.00098990709049531	9.650291806442719e-05	21.0	9.650291806442719e-05	0.0	0.0012120345341581937	0.0068342368424816015	1487.1982792924214	6.433527870961813e-05	0.14076099443959378
ti|511145|org|Escherichia_coli_str._K-12_substr._MG1655	0.0009151575759918988	0.0005652313772345021	123.0	0.0005652313772345021	0.0	0.004854582781952069	0.007808882476255091	1699.2909156578705	0.0013923992463581636	0.1465557649005101
ti|585395|org|Escherichia_coli_O103:H2_str._12009	0.000873991660151973	0.00022057809843297642	48.0	0.00022057809843297642	0.0	0.001056962918942296	0.022951857095337085	4994.553622516303	0.00020219659023022838	0.2646845273654703
